Year,Precip (in),Price ($/bu),Yield_1 (bu/ac),Irrig_1 (in),Yield_2 (bu/ac),Irrig_2 (in),Yield_3 (bu/ac),Irrig_3 (in),Yield_4 (bu/ac),Irrig_4 (in),N-app (kg/ha),N-use_1 (kg/ha),N-use_2 (kg/ha),N-use_3 (kg/ha),N-use_4 (kg/ha)
2008/2017,18.56,9.39,91,15,20,0,99,16,14,0,0,64,30,55,21
2009/2018,20.79,9.38,92,13,30,0,99,17,13,0,0,60,29,57,20
2010/2028,17.34,11.5,95,21,9,0,94,20,9,0,0,57,20,57,18
2011/2038,12.22,12.1,88,24,8,0,91,17,6,0,0,59,20,57,20
2012/2048,13.97,14.3,93,22,5,0,88,19,8,0,0,63,21,59,20
2013/2058,17.45,12.8,89,13,29,0,84,20,10,0,0,61,37,60,22
2014/2068,18.92,9.63,96,9,50,0,80,22,5,0,0,63,39,60,18
2015/2078,29.03,8.56,96,12,24,0,71,22,7,0,0,57,33,62,21
2016/2088,20.07,9.26,96,10,38,0,63,22,8,0,0,61,39,64,23
2017/2098,23.38,9,95,15,24,0,51,23,7,0,0,58,25,71,24
